report_id,date,site,report_type,activity,description,sif_potential,sif_predicted,sif_probability,life_saving_rule,lsr_all_matches,activity_category,barrier_failure
RPT-00001,2025-12-13,Digboi Refinery,UA,working at height on scaffolding,UA raised at Digboi Refinery: worker engaged in working at height on scaffolding without following procedure - barricade/warning signage missing at work area.,0,0,0.37,Working at Height,['Working at Height'],Working at Height,Barricade/Signage Missing
RPT-00002,2025-04-30,Duliajan Workshop,UC,hot work / welding near flammable storage,"During hot work / welding near flammable storage at Duliajan Workshop, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to fire or explosion in presence of flammable atmosphere.",1,1,0.734,Hot Work,"['Hot Work', 'Safe Mechanical Lifting']",Hot Work,Permit Not Issued
RPT-00003,2025-08-18,Lakwa Gas Plant,UA,working at height on scaffolding,Field audit at Lakwa Gas Plant identified working at height on scaffolding where equipment inspection overdue / defective tool used. No injury occurred but potential for fall from height was high.,0,1,0.69,Working at Height,['Working at Height'],Working at Height,Defective Equipment
RPT-00004,2025-04-21,Barekuri Well Pad,Near-Miss,working at height on scaffolding,"While conducting working at height on scaffolding, a near-miss occurred at Barekuri Well Pad because gas test not performed before entry.",1,1,0.761,Working at Height,"['Working at Height', 'Confined Space']",Working at Height,Gas Test Skipped
RPT-00005,2025-01-23,Digboi Refinery,UA,hot work / welding near flammable storage,"While conducting hot work / welding near flammable storage, a ua occurred at Digboi Refinery because communication breakdown between crew and control room.",0,0,0.295,Hot Work,['Hot Work'],Hot Work,Communication Failure
RPT-00006,2025-05-31,Jorajan Pipeline ROW,Incident,excavation near buried pipeline,"Observation (Incident) at Jorajan Pipeline ROW - excavation near buried pipeline in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of being struck by moving/falling/suspended object.",0,0,0.374,Line of Fire,"['Line of Fire', 'Working at Height']",Excavation,PPE Non-Compliance
RPT-00007,2025-04-27,Lakwa Gas Plant,UA,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Lakwa Gas Plant, it was observed that no lifting plan / unqualified rigger used. This created a direct exposure to unexpected equipment start-up / stored energy release.",1,1,0.879,Energy Isolation,"['Energy Isolation', 'Safe Mechanical Lifting']",Energy Isolation / LOTO,Permit Not Issued
RPT-00008,2025-07-06,Digboi Refinery,UC,manual lifting with mobile crane,"Observation (UC) at Digboi Refinery - manual lifting with mobile crane in progress, however PPE (harness/gloves/goggles) not worn correctly, increasing risk of dropped load / crane failure.",1,1,0.786,Safe Mechanical Lifting,"['Safe Mechanical Lifting', 'Working at Height']",Mechanical Lifting,PPE Non-Compliance
RPT-00009,2025-03-29,Kumchai Compressor Station,Near-Miss,energy isolation / LOTO on pump,"During energy isolation / LOTO on pump at Kumchai Compressor Station, it was observed that isolation point not verified with lock and tag. This created a direct exposure to unexpected equipment start-up / stored energy release.",1,1,0.78,Energy Isolation,['Energy Isolation'],Energy Isolation / LOTO,Isolation Not Verified
RPT-00010,2025-06-16,Moran GGS,UC,confined space entry into storage tank,Field audit at Moran GGS identified confined space entry into storage tank where toolbox talk / risk assessment not conducted. No injury occurred but potential for asphyxiation or toxic gas exposure was high.,1,1,0.586,Confined Space,['Confined Space'],Confined Space Entry,Risk Assessment Skipped
RPT-00011,2025-10-18,Moran GGS,UC,working at height on scaffolding,"During working at height on scaffolding at Moran GGS, it was observed that supervision inadequate for high-risk task. This created a direct exposure to fall from height.",1,1,0.654,Working at Height,['Working at Height'],Working at Height,Inadequate Supervision
RPT-00012,2025-03-13,Kumchai Compressor Station,UC,manual lifting with mobile crane,"Observation (UC) at Kumchai Compressor Station - manual lifting with mobile crane in progress, however toolbox talk / risk assessment not conducted, increasing risk of dropped load / crane failure.",1,0,0.482,Safe Mechanical Lifting,['Safe Mechanical Lifting'],Mechanical Lifting,PPE Non-Compliance
RPT-00013,2025-07-24,Duliajan Workshop,Near-Miss,excavation near buried pipeline,"Observation (Near-Miss) at Duliajan Workshop - excavation near buried pipeline in progress, however barricade/warning signage missing at work area, increasing risk of being struck by moving/falling/suspended object.",0,0,0.089,Line of Fire,['Line of Fire'],Excavation,Barricade/Signage Missing
RPT-00014,2025-03-20,Moran GGS,UC,confined space entry into storage tank,"During confined space entry into storage tank at Moran GGS, it was observed that equipment inspection overdue / defective tool used. This created a direct exposure to asphyxiation or toxic gas exposure.",0,1,0.623,Confined Space,['Confined Space'],Confined Space Entry,Defective Equipment
RPT-00015,2025-08-28,Numaligarh Terminal,UC,routine equipment inspection round,"Observation (UC) at Numaligarh Terminal - routine equipment inspection round in progress, however communication breakdown between crew and control room, increasing risk of uncontrolled/unauthorized simultaneous operations.",0,0,0.076,Work Authorization,['Work Authorization'],Inspection / Housekeeping,Communication Failure
RPT-00016,2025-10-02,Barekuri Well Pad,Near-Miss,excavation near buried pipeline,"During excavation near buried pipeline at Barekuri Well Pad, it was observed that permit to work not issued before starting job. This created a direct exposure to being struck by moving/falling/suspended object.",0,0,0.338,Line of Fire,"['Line of Fire', 'Work Authorization']",Excavation,Permit Not Issued
